"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"73"	"mmu00020"	"14194"	"Fh1"	"Citrate cycle (TCA cycle)"
"74"	"mmu00020"	"15926"	"Idh1"	"Citrate cycle (TCA cycle)"
"75"	"mmu00020"	"15929"	"Idh3g"	"Citrate cycle (TCA cycle)"
"76"	"mmu00020"	"170718"	"Idh3b"	"Citrate cycle (TCA cycle)"
"77"	"mmu00020"	"17448"	"Mdh2"	"Citrate cycle (TCA cycle)"
"78"	"mmu00020"	"17449"	"Mdh1"	"Citrate cycle (TCA cycle)"
"79"	"mmu00020"	"18293"	"Ogdh"	"Citrate cycle (TCA cycle)"
"80"	"mmu00020"	"18534"	"Pck1"	"Citrate cycle (TCA cycle)"
"81"	"mmu00020"	"18563"	"Pcx"	"Citrate cycle (TCA cycle)"
"82"	"mmu00020"	"18597"	"Pdha1"	"Citrate cycle (TCA cycle)"
"83"	"mmu00020"	"18598"	"Pdha2"	"Citrate cycle (TCA cycle)"
"84"	"mmu00020"	"20916"	"Sucla2"	"Citrate cycle (TCA cycle)"
"85"	"mmu00020"	"20917"	"Suclg2"	"Citrate cycle (TCA cycle)"
"86"	"mmu00020"	"235339"	"Dlat"	"Citrate cycle (TCA cycle)"
"87"	"mmu00020"	"239017"	"Ogdhl"	"Citrate cycle (TCA cycle)"
"88"	"mmu00020"	"243996"	"4933405O20Rik"	"Citrate cycle (TCA cycle)"
"89"	"mmu00020"	"269951"	"Idh2"	"Citrate cycle (TCA cycle)"
"90"	"mmu00020"	"56451"	"Suclg1"	"Citrate cycle (TCA cycle)"
"91"	"mmu00020"	"66052"	"Sdhc"	"Citrate cycle (TCA cycle)"
"92"	"mmu00020"	"66925"	"Sdhd"	"Citrate cycle (TCA cycle)"
"93"	"mmu00020"	"66945"	"Sdha"	"Citrate cycle (TCA cycle)"
"94"	"mmu00020"	"67680"	"Sdhb"	"Citrate cycle (TCA cycle)"
"95"	"mmu00020"	"67834"	"Idh3a"	"Citrate cycle (TCA cycle)"
"96"	"mmu00020"	"68263"	"Pdhb"	"Citrate cycle (TCA cycle)"
"97"	"mmu00020"	"71832"	"Csl"	"Citrate cycle (TCA cycle)"
"98"	"mmu00020"	"74551"	"Pck2"	"Citrate cycle (TCA cycle)"
"99"	"mmu00020"	"78920"	"Dlst"	"Citrate cycle (TCA cycle)"
"100"	"mmu00030"	"100198"	"H6pd"	"Pentose phosphate pathway"
"101"	"mmu00030"	"110208"	"Pgd"	"Pentose phosphate pathway"
"102"	"mmu00030"	"110639"	"Prps2"	"Pentose phosphate pathway"
"103"	"mmu00030"	"11674"	"Aldoa"	"Pentose phosphate pathway"
"104"	"mmu00030"	"11676"	"Aldoc"	"Pentose phosphate pathway"
"105"	"mmu00030"	"14120"	"Fbp2"	"Pentose phosphate pathway"
