"","INT:C079.mzML","INT:C080.mzML","INT:C081.mzML","INT:C083.mzML","INT:C084.mzML","INT:C103.mzML","INT:C105.mzML","INT:C123.mzML","INT:C135.mzML","INT:C137.mzML","INT:C141.mzML","INT:C145.mzML","INT:C149.mzML","INT:C155.mzML","INT:C176.mzML"
"CE(14:0)",0.507370702821378,0.434589399069956,0.333005467060966,0.901781796920884,0.555075165025624,0.366586186716886,0.657115356084392,0.140141851057458,0.377748992193468,1.52964222897681,0.595917304613193,0.939081559987336,0.291101574401093,0.610015171220104,0.491224927600472
"CE(16:2)",0.302968271374562,0.00888330990986515,0.00888330990986515,0.376215873985124,0.218074777357705,0.0389400718958542,0.0780016423480956,0.0496975300765273,0.0627637942815298,0.436008049944362,0.132775924144899,0.147385758624301,0.0703275920760388,0.165842679723401,0.0556262653475653
"CE(16:1)",4.28018641082622,2.41979617988098,2.36711477746835,6.26788261871575,5.59062551500369,1.98194874973059,6.82169106792553,0.767302966932069,3.53289043200602,12.6514799702336,4.2782144906554,6.97941294411809,1.9864980043834,5.23125862142823,3.67895357537878
"CE(16:0)",4.77928259047038,2.1882652235078,95.1632241381194,6.35327178986033,3.98851687339199,1.5711097236857,5.54926034525736,1.94740184163631,10.3698921060817,37.9350358564394,12.4058525210523,31.3397457087193,8.16758404488132,20.2014752331726,2.95475978595008
"CE(18:3)",0.709550698480459,0.398573283392743,0.205184365269833,1.26738258501752,0.631063202706829,0.47521591464583,0.529803600183598,0.100458629263168,0.433904858731467,1.93340611916804,0.455943458236855,1.15708916945773,0.357899583124667,0.724746593591261,0.501782470970037
"CE(18:2)",6.57229938541185,3.99132315507916,2.52900669401255,12.3698524435858,6.74490974392365,3.65916848532892,7.35640382607248,1.05795363743602,5.48111816614831,17.9968900742722,5.26397812891699,10.9090697409924,3.95944388688759,6.68870178633728,5.18890149635782
"CE(18:1)",19.0595146541664,10.7844379962088,12.9242406109744,34.7810915017269,26.204217145509,6.95703996369948,40.6052028796594,3.34224594097622,26.8706851144274,49.5566139843443,17.9123053284632,43.2266669575387,10.6275282215718,26.485518630661,16.8116450324084
"CE(18:0)",1.68988014602873,0.921838930909419,0.822009929466747,2.36223247576647,1.54060585671261,0.612501751644769,2.31114190837732,0.214602304738463,1.61275818743031,4.45750518812466,1.16922449452743,3.21033506206356,0.753089338649929,2.1955799110656,1.1920461321351
"CE(20:4)",5.24368240054698,4.21388477768245,3.16284609998082,17.4578486082441,7.6884734428383,2.24900027698842,14.3846262945784,2.15421744636736,4.28827401983293,14.3444951493624,4.92885161836952,14.9935392557313,3.09262168352464,10.8753962497004,5.69240868288106
"CE(20:3)",1.44911881760228,1.45113452626007,1.57119871142421,5.58674544756799,3.34134396508431,0.594091198120575,8.0960018619583,0.965731289789273,2.13487003816376,3.04438376497188,1.51139068711695,6.66019039495842,0.905259875543737,4.11299455443492,2.20286338863428
"CE(20:2)",0.323993650638091,0.292185429580035,0.417611502847773,1.26243978271521,0.708153743702002,0.116058208375024,1.71155070536523,0.213647074976822,1.00128890243987,0.552401393717489,0.516279547592259,1.12537363685505,0.214732661760729,0.853359363173668,0.455849329231136
"CE(20:1)",0.629283415116501,0.516346128871264,0.50556635132662,1.06473961721956,0.71060748076235,0.209985096979525,1.71415751404396,0.226804137315662,1.32450549383944,0.938773503667063,0.785330726475129,0.913299832192934,0.440123312758488,0.791596866918102,0.605864398983199
"CE(20:0)",0.322407143110702,0.187675142317497,0.158069878504828,0.296529479903993,0.210685265477916,0.156632005309311,0.25179839329032,0.0739299834255553,0.321395246009311,0.489346502078031,0.263105676347689,0.371868977180476,0.159501772559479,0.257760378750215,0.198863570927822
"CE(22:2)",0.257364642226222,0.148059263744559,-0.00135172285327934,0.701062761809347,0.132914651310058,0.0632877575641717,0.298223164620626,0.0576204280406592,0.138924875273001,0.197040057733256,0.125787866546218,0.178438036081744,0.0518548859035274,0.10327457836471,0.140296322524466
"CE(22:1)",0.0925411324152029,0.162259180280007,0.210079342804036,0.510884288769208,0.382618064416464,0.080496613004239,0.737343615349837,0.0973660041766533,0.39285642774075,0.200874798604939,0.296364181540425,0.32167387134727,0.086171939141332,0.287636509189461,0.250061657957306
"CE(22:0)",0.152806210885559,0.00497671779128034,0.651692045580621,0.769274990474272,0.344920051606778,0.032381790397136,0.115420313808654,0.215176458091793,0.437644799048008,0.486958386424244,0.555266365274054,0.559008337743644,0.230914127710115,0.553468715088011,0.0629077324526101
